Donor_ID	Adipose - Subcutaneous	Adipose - Visceral (Omentum)	Adrenal Gland	Artery - Aorta	Artery - Coronary	Artery - Tibial	Bladder	Brain - Amygdala	Brain - Anterior cingulate cortex (BA24)	Brain - Caudate (basal ganglia)	Brain - Cerebellar Hemisphere	Brain - Cerebellum	Brain - Cortex	Brain - Frontal Cortex (BA9)	Brain - Hippocampus	Brain - Hypothalamus	Brain - Nucleus accumbens (basal ganglia)	Brain - Putamen (basal ganglia)	Brain - Spinal cord (cervical c-1)	Brain - Substantia nigra	Breast - Mammary Tissue	Cells - EBV-transformed lymphocytes	Cells - Transformed fibroblasts	Cervix - Ectocervix	Cervix - Endocervix	Colon - Sigmoid	Colon - Transverse	Esophagus - Gastroesophageal Junction	Esophagus - Mucosa	Esophagus - Muscularis	Fallopian Tube	Heart - Atrial Appendage	Heart - Left Ventricle	Kidney - Cortex	Liver	Lung	Minor Salivary Gland	Muscle - Skeletal	Nerve - Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin - Not Sun Exposed (Suprapubic)	Skin - Sun Exposed (Lower leg)	Small Intestine - Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
11NUK	0.0	59.3162203903	0.0	45.2623835542	0.0	48.7363415546	0.0	0.0	0.0	0.0	0.0	36.1719268711	55.2039929575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.115467754	0.0	0.0	0.0	0.0	61.2543530268	63.9797477969	0.0	0.0	63.8293455567	0.0	0.0	73.2442573768	48.3930642441	0.0	80.4032999678	43.028122906	0.0	0.0	50.9791834677	0.0	55.78709315	53.0423937972	0.0	0.0	66.6847663538	43.3257449879	43.6190790276	0.0	0.0	158.773777934
11NV4	0.0	43.8935801587	0.0	0.0	0.0	56.7493285297	0.0	0.0	0.0	66.9210372475	0.0	29.2728129985	73.218327829	0.0	0.0	0.0	67.4736406524	66.6110024156	0.0	0.0	54.3002592118	0.0	54.8298860561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0830479988	0.0	0.0	73.129995437	50.7125840407	51.3422938128	83.3104331988	0.0	0.0	0.0	45.8113825824	0.0	0.0	0.0	0.0	0.0	0.0	36.5428687888	0.0	0.0	0.0	58.9153469663
11O72	56.5037106703	0.0	0.0	0.0	0.0	50.5166327259	0.0	0.0	0.0	0.0	0.0	31.5043092024	57.3887866837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.7125700039	0.0	54.2649600997	0.0	0.0	0.0	52.7702603639	48.7963773693	0.0	52.2605676643	0.0	77.6140587039	82.9524968902	0.0	0.0	41.7936421938	0.0	61.1132480604	43.4939404935	0.0	0.0	66.7341142378	43.0284856468	51.9921361683	53.1447191267	0.0	0.0	0.0	40.107295519	43.8126253347	0.0	0.0	161.376593819
11OC5	0.0	0.0	0.0	0.0	0.0	58.915636804	0.0	0.0	0.0	0.0	0.0	0.0	53.9509160952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.9557519322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.3098303063	44.4100457077	0.0	0.0	0.0	0.0	0.0	57.1291681334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.9330338617
11OF3	55.515686494	51.1714223148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.8231769174	33.625795849	56.1175115853	33.7194538266	0.0	0.0	60.2620265509	64.6793155582	67.4395115279	0.0	0.0	55.4262696906	0.0	61.8206624363	0.0	0.0	0.0	0.0	57.8458099968	0.0	0.0	0.0	0.0	0.0	99.2254773364	62.0827677891	45.1394779764	0.0	78.6897586618	0.0	0.0	0.0	44.4066074027	55.3063111559	61.6522828867	51.8553815117	0.0	0.0	0.0	41.7541571319	39.8874320408	0.0	0.0	208.473626435
11ONC	49.8440860492	0.0	0.0	41.2867211715	53.8704358692	53.1324704813	0.0	0.0	0.0	0.0	0.0	40.2990497624	57.1616027749	0.0	71.9568246209	62.0405953843	0.0	0.0	68.0539094819	0.0	54.0048742341	0.0	53.8833495176	0.0	0.0	52.4791878527	53.2726934759	0.0	59.8153145201	60.2361871133	0.0	75.0119516901	0.0	0.0	0.0	0.0	0.0	61.9910086054	49.1521697898	0.0	107.873493819	50.1326583797	0.0	0.0	0.0	0.0	0.0	0.0	47.2133645455	0.0	0.0	0.0	229.200272456
11P7K	55.265939419	59.9911137878	61.4325972779	0.0	0.0	64.9737923478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.1473212921	57.959384585	62.475604274	0.0	0.0	59.922638008	60.5938894836	56.7240040563	62.7310215244	58.8915314553	0.0	0.0	0.0	0.0	0.0	55.0699671338	0.0	70.5895631642	46.1152755312	0.0	86.02302864	0.0	51.6109737501	61.3826523218	51.6264603667	49.4896808911	45.665425379	50.5526249532	40.0224848474	40.8479442153	0.0	0.0	130.383016331
11P81	48.5015948555	57.207774012	0.0	54.2092775103	0.0	56.1772281835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0179254664	0.0	51.7744555863	0.0	0.0	64.1556664684	47.43211064	50.6263235895	65.5216557586	57.2605658747	0.0	78.7569937714	0.0	0.0	0.0	50.984011158	58.2153993437	73.9270925883	40.4690138892	48.3690956965	0.0	0.0	0.0	56.685223302	49.1036833951	0.0	57.2133189242	0.0	0.0	38.9743677806	39.9772716792	51.1573567693	120.753332966
11P82	66.5957072022	68.0801163791	0.0	53.6356038993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.6508298868	0.0	58.0131854916	0.0	0.0	0.0	59.9578566682	56.6655726209	65.8756413182	58.6890418234	0.0	0.0	0.0	0.0	0.0	0.0	56.3926646033	75.1787135109	0.0	0.0	0.0	0.0	47.4388955607	50.2502727473	57.5238069894	55.076659182	0.0	53.9337374489	43.8637152184	51.2286730385	0.0	0.0	123.788344944
11PRG	45.4817654728	57.3509943766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.8371254099	58.9548993512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.06753311	0.0	59.6149623642	0.0	0.0	51.213817752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.2928737895	0.0	72.684998414	32.8056426385	0.0	0.0	0.0	0.0	54.742045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.567400243
