# Number of gene annotations for each GO term that are being used for experiments.
# GO_Term	Num_Genes
GO:0042573	14
GO:0045649	14
GO:0010613	14
GO:0072215	14
GO:0010744	14
GO:0007158	14
GO:0022029	13
GO:0048706	13
GO:2000300	13
GO:0045954	13
GO:0003279	13
GO:0042133	13
GO:0090075	13
GO:0033561	13
GO:0035590	13
GO:0007216	13
GO:0070229	13
GO:0045879	13
GO:0001773	13
GO:0035710	13
GO:0010842	13
GO:0043500	13
GO:0042461	13
GO:0048813	13
GO:0050858	13
GO:0046641	13
GO:0007205	13
GO:0060412	13
GO:0032645	13
GO:0010544	13
GO:0002042	13
GO:0030949	13
GO:0002407	13
GO:0001541	13
GO:0010460	13
GO:0010745	13
GO:0051402	13
GO:0045671	13
GO:0001569	12
GO:0030224	12
GO:0043302	12
GO:0051580	12
GO:0055007	12
GO:0051150	12
GO:0001657	12
GO:0060349	12
GO:0090026	12
GO:2000050	12
GO:0002726	12
GO:0001974	12
GO:0046716	12
GO:0042098	12
GO:0061311	12
GO:0002691	12
GO:0055013	12
GO:0045987	12
GO:0001890	12
GO:0010804	12
GO:0045909	12
GO:0072216	12
GO:0003071	12
GO:0071887	12
GO:0060041	12
GO:0051917	12
GO:0090330	12
GO:0048839	12
GO:0090185	12
GO:0048488	12
GO:0060389	12
GO:0010831	12
GO:0007566	12
GO:0045577	12
GO:0030225	11
GO:0030852	11
GO:0014819	11
GO:0032332	11
GO:0090190	11
GO:0002888	11
GO:0002292	11
GO:0070293	11
GO:0055003	11
GO:0070498	11
GO:0042462	11
GO:0070230	11
GO:0002902	11
GO:0045662	11
GO:0048172	11
GO:0042310	11
GO:0033005	11
GO:0014896	11
GO:0010984	11
GO:0060291	11
GO:0031629	11
GO:0048738	11
GO:0050860	11
GO:0061037	11
GO:0019226	11
GO:0032725	11
GO:0055119	11
GO:0060391	11
GO:0001916	11
GO:0014014	11
GO:0031641	11
GO:0055023	11
GO:2000171	11
GO:0008045	11
GO:0007413	11
GO:0010640	11
GO:0014912	11
GO:0002003	11
GO:0002444	11
GO:0045672	11
GO:0048286	11
GO:0035774	10
GO:0030220	10
GO:0031102	10
GO:0016358	10
GO:0048566	10
GO:0048701	10
GO:0021545	10
GO:0072678	10
GO:0002293	10
GO:0001977	10
GO:0001823	10
GO:0030889	10
GO:0021766	10
GO:0050901	10
GO:0002088	10
GO:0021915	10
GO:0003015	10
GO:0007168	10
GO:0035162	10
GO:0048009	10
GO:0032816	10
GO:0001946	10
GO:0045618	10
GO:0042574	10
GO:0051145	10
GO:0048048	10
GO:0045989	10
GO:0032331	10
GO:0007171	10
GO:0060394	10
GO:0034374	10
GO:0002208	10
GO:0048643	10
GO:0002204	10
GO:0055026	10
GO:0060047	10
GO:0043367	10
