# Sample Index	Sample ID
82	GTEX-13FTY-0626-SM-5L3F8
83	GTEX-13G51-2626-SM-5LZYW
84	GTEX-13IVO-0226-SM-5LZXU
85	GTEX-13JUV-2826-SM-5LZWU
86	GTEX-13JVG-0226-SM-5J1MW
87	GTEX-13N11-2626-SM-5K7UQ
88	GTEX-13N1W-0226-SM-5K7W6
89	GTEX-13N2G-2726-SM-5J1MG
90	GTEX-13NYS-0226-SM-5MR49
91	GTEX-13NZ8-0926-SM-5MR3U
92	GTEX-13NZ9-0526-SM-5J1OX
93	GTEX-13NZA-0126-SM-5K7UH
94	GTEX-13NZB-2426-SM-5K7UF
95	GTEX-13O1R-0226-SM-5K7U5
96	GTEX-13O21-1526-SM-5K7W4
97	GTEX-13O3P-0226-SM-5KM3Z
98	GTEX-13O3Q-2326-SM-5KM3G
99	GTEX-13O61-2426-SM-5J1NV
100	GTEX-13OVI-1326-SM-5IJBO
101	GTEX-13OVJ-0326-SM-5L3GL
102	GTEX-13OVL-0326-SM-5IJCS
103	GTEX-13OW6-0526-SM-5L3HY
104	GTEX-13OW7-0226-SM-5MR3N
105	GTEX-13OW8-1226-SM-5K7XD
106	GTEX-13PDP-0226-SM-5K7W9
107	GTEX-13PLJ-0126-SM-5L3HU
108	GTEX-13PVQ-0226-SM-5SIBG
109	GTEX-13PVR-2426-SM-5RQHN
110	GTEX-13QBU-2526-SM-5LU4X
111	GTEX-13QJ3-0426-SM-5RQHP
112	GTEX-13RTJ-2526-SM-5S2Q3
113	GTEX-13S7M-0226-SM-5S2UG
114	GTEX-13SLW-0226-SM-5S2NA
115	GTEX-13SLX-0426-SM-5QGRC
116	GTEX-13U4I-0226-SM-5SIB1
117	GTEX-13VXT-0226-SM-5LU9Q
118	GTEX-13VXU-0226-SM-5SI9R
119	GTEX-13W3W-2526-SM-5SI9P
120	GTEX-13X6K-0226-SM-5QGPB
121	GTEX-13YAN-0426-SM-5O9DR
122	GTEX-144FL-0226-SM-5Q5D4
123	GTEX-144GL-0226-SM-5QGOX
124	GTEX-144GM-1926-SM-5LUAN
125	GTEX-145LS-0226-SM-5O9A5
126	GTEX-145LT-1826-SM-5QGP4
127	GTEX-145ME-1926-SM-5SI9S
128	GTEX-145MF-0526-SM-5LUA6
129	GTEX-145MI-0426-SM-5O99V
130	GTEX-145MN-2626-SM-5NQAH
131	GTEX-145MO-0426-SM-5QGP6
132	GTEX-146FH-0226-SM-5QGPQ
133	GTEX-146FQ-0226-SM-5NQAL
134	GTEX-146FR-1826-SM-5QGPF
135	GTEX-14753-0326-SM-5QGQB
136	GTEX-147F3-0626-SM-5NQ9I
137	GTEX-147GR-0426-SM-5S2OL
138	GTEX-148VI-1726-SM-5S2W9
139	GTEX-1497J-2326-SM-5NQBK
140	GTEX-14BIL-0226-SM-5SI9E
141	GTEX-14BMU-2126-SM-5S2TS
142	GTEX-14BMV-0226-SM-5S2N2
143	GTEX-14C39-2526-SM-5S2UH
144	GTEX-14C5O-0226-SM-5SI6O
145	GTEX-14DAR-1926-SM-5S2NQ
146	GTEX-14E6C-0226-SM-5S2N3
147	GTEX-N7MS-0326-SM-4E3K2
148	GTEX-NFK9-0326-SM-3MJGV
149	GTEX-NL3G-0226-SM-4RGLU
150	GTEX-NPJ8-0226-SM-48TBN
151	GTEX-O5YT-0226-SM-32PK5
152	GTEX-O5YV-0226-SM-48TBY
153	GTEX-OHPK-0226-SM-3MJH6
154	GTEX-OHPM-0226-SM-3LK61
155	GTEX-OHPN-0226-SM-48TBV
