SAMPID	SMTSD
GTEX-111FC-0826-SM-5GZWO	Heart - Left Ventricle
GTEX-111FC-1026-SM-5GZX1	Thyroid
GTEX-111FC-1126-SM-5GZWU	Lung
GTEX-111FC-1326-SM-5N9D9	Spleen
GTEX-111FC-1426-SM-5N9C7	Adipose - Subcutaneous
GTEX-111FC-1926-SM-5GZYC	Testis
GTEX-111FC-2026-SM-5GZYO	Prostate
GTEX-111FC-2526-SM-5GZXU	Skin - Not Sun Exposed (Suprapubic)
GTEX-111FC-2926-SM-5GZY7	Minor Salivary Gland
GTEX-111FC-3026-SM-5GZYJ	Pituitary
GTEX-111FC-3126-SM-5GZZ2	Brain - Cortex
GTEX-111FC-3326-SM-5GZYV	Brain - Cerebellum
GTEX-111VG-0004-SM-58Q85	Whole Blood
GTEX-111VG-0004-SM-5DWSX	Whole Blood
GTEX-111VG-0008-SM-5Q5BG	Cells - Transformed fibroblasts
GTEX-111VG-0326-SM-5GZX7	Heart - Atrial Appendage
GTEX-111VG-0526-SM-5N9BW	Thyroid
GTEX-111VG-0726-SM-5GIDC	Lung
GTEX-111VG-1626-SM-5EGIO	Skin - Not Sun Exposed (Suprapubic)
GTEX-111VG-1926-SM-5GIDO	Testis
GTEX-111VG-2226-SM-5N9DU	Colon - Transverse
GTEX-111VG-2326-SM-5N9BK	Adipose - Subcutaneous
GTEX-111VG-2426-SM-5GZXD	Skin - Sun Exposed (Lower leg)
GTEX-111VG-2526-SM-5GZXP	Nerve - Tibial
GTEX-111VG-2626-SM-5GZY2	Muscle - Skeletal
GTEX-111YS-0004-SM-58Q7Y	Whole Blood
GTEX-111YS-0004-SM-5DWSS	Whole Blood
GTEX-111YS-0006-SM-5NQBE	Whole Blood
GTEX-111YS-0008-SM-5Q5BH	Cells - Transformed fibroblasts
GTEX-111YS-0126-SM-5987T	Adrenal Gland
GTEX-111YS-0326-SM-5GZZ3	Heart - Atrial Appendage
GTEX-111YS-0426-SM-5987O	Heart - Left Ventricle
GTEX-111YS-0526-SM-5GZXJ	Artery - Aorta
GTEX-111YS-0626-SM-5GZXV	Lung
GTEX-111YS-0726-SM-5GZY8	Thyroid
GTEX-111YS-0826-SM-5GZYK	Esophagus - Gastroesophageal Junction
GTEX-111YS-0926-SM-5EGGI	Esophagus - Mucosa
GTEX-111YS-1026-SM-5GZYE	Esophagus - Muscularis
GTEX-111YS-1126-SM-5GZYQ	Stomach
GTEX-111YS-1226-SM-5EGGJ	Pancreas
GTEX-111YS-1326-SM-5EGGK	Adipose - Visceral (Omentum)
GTEX-111YS-1426-SM-5GID8	Small Intestine - Terminal Ileum
GTEX-111YS-1526-SM-5GZYW	Skin - Not Sun Exposed (Suprapubic)
GTEX-111YS-1626-SM-5GZZ9	Colon - Transverse
GTEX-111YS-1726-SM-5GIED	Prostate
GTEX-111YS-1826-SM-5GIEP	Colon - Sigmoid
GTEX-111YS-1926-SM-5GICC	Breast - Mammary Tissue
GTEX-111YS-2026-SM-5EGGL	Testis
GTEX-111YS-2126-SM-5EGGM	Nerve - Tibial
GTEX-111YS-2226-SM-5987P	Artery - Tibial
GTEX-111YS-2326-SM-5987L	Muscle - Skeletal
GTEX-111YS-2426-SM-5GZZQ	Adipose - Subcutaneous
GTEX-1122O-0003-SM-5Q5DL	Cells - EBV-transformed lymphocytes
GTEX-1122O-0004-SM-58Q7O	Whole Blood
GTEX-1122O-0004-SM-5DWSJ	Whole Blood
GTEX-1122O-0005-SM-5O99J	Whole Blood
GTEX-1122O-0008-SM-5QGR2	Cells - Transformed fibroblasts
GTEX-1122O-0126-SM-5GICA	Lung
GTEX-1122O-0226-SM-5N9DA	Thyroid
GTEX-1122O-0326-SM-5H124	Adrenal Gland
GTEX-1122O-0426-SM-5H12G	Artery - Coronary
GTEX-1122O-0526-SM-5N9DM	Spleen
GTEX-1122O-0626-SM-5N9B9	Heart - Atrial Appendage
GTEX-1122O-0726-SM-5GIEV	Pancreas
GTEX-1122O-0826-SM-5GICV	Heart - Left Ventricle
GTEX-1122O-0926-SM-5N9C9	Adipose - Visceral (Omentum)
GTEX-1122O-1126-SM-5NQ8X	Artery - Aorta
GTEX-1122O-1226-SM-5H113	Breast - Mammary Tissue
GTEX-1122O-1326-SM-5H11F	Small Intestine - Terminal Ileum
GTEX-1122O-1426-SM-5H11R	Colon - Sigmoid
GTEX-1122O-1526-SM-5N9CL	Colon - Transverse
GTEX-1122O-1626-SM-5N9CX	Esophagus - Muscularis
GTEX-1122O-1726-SM-5GICM	Esophagus - Mucosa
GTEX-1122O-1826-SM-5EGIP	Esophagus - Gastroesophageal Junction
GTEX-1122O-1926-SM-5EGIQ	Stomach
GTEX-1122O-2026-SM-5NQ91	Adipose - Subcutaneous
GTEX-1122O-2126-SM-5EGIR	Skin - Sun Exposed (Lower leg)
GTEX-1122O-2426-SM-5GIDN	Muscle - Skeletal
GTEX-1128S-0001-SM-58Q96	Whole Blood
GTEX-1128S-0001-SM-5DWTV	Whole Blood
GTEX-1128S-0005-SM-5P9HI	Whole Blood
GTEX-1128S-0008-SM-5Q5DP	Cells - Transformed fibroblasts
GTEX-1128S-0126-SM-5H12S	Thyroid
GTEX-1128S-0326-SM-5GZZF	Artery - Aorta
GTEX-1128S-0726-SM-5N9D6	Lung
GTEX-1128S-0826-SM-5GZZI	Pancreas
GTEX-1128S-0926-SM-5GZZU	Adipose - Visceral (Omentum)
GTEX-1128S-1626-SM-5H12O	Colon - Transverse
GTEX-1128S-2126-SM-5H12U	Adipose - Subcutaneous
GTEX-1128S-2326-SM-5GZZY	Skin - Sun Exposed (Lower leg)
GTEX-1128S-2426-SM-5H11B	Muscle - Skeletal
GTEX-1128S-2526-SM-5H11N	Artery - Tibial
GTEX-1128S-2626-SM-5H11Z	Pituitary
GTEX-1128S-2726-SM-5H12C	Brain - Cortex
GTEX-1128S-2826-SM-5N9DI	Brain - Cerebellum
GTEX-113IC-0001-SM-58Q97	Whole Blood
GTEX-113IC-0001-SM-5DWSI	Whole Blood
GTEX-113IC-0006-SM-5NQ9C	Whole Blood
GTEX-113IC-0008-SM-5QGRF	Cells - Transformed fibroblasts
GTEX-113IC-0126-SM-5HL6T	Skin - Sun Exposed (Lower leg)
GTEX-113IC-0226-SM-5HL5C	Adipose - Subcutaneous
GTEX-113IC-0426-SM-5HL5O	Artery - Tibial
GTEX-113IC-0526-SM-5HL76	Nerve - Tibial
GTEX-113JC-0001-SM-58Q7M	Whole Blood
GTEX-113JC-0001-SM-5DWSH	Whole Blood
GTEX-113JC-0006-SM-5O997	Whole Blood
GTEX-113JC-0008-SM-5QGR6	Cells - Transformed fibroblasts
GTEX-113JC-0126-SM-5EGJW	Thyroid
GTEX-113JC-0726-SM-5GZZR	Adipose - Visceral (Omentum)
GTEX-113JC-0926-SM-5H114	Esophagus - Muscularis
GTEX-113JC-1026-SM-5H117	Esophagus - Gastroesophageal Junction
