GO Process ID	Num_Genes_In_Ensembl
GO:0007185	7
GO:0043931	7
GO:0021516	7
GO:0007216	7
GO:0003184	7
GO:0003181	7
GO:0034393	7
GO:0046850	7
GO:2000300	7
GO:0021798	7
GO:0021796	7
GO:2000510	7
GO:0050869	7
GO:0050861	7
GO:0050862	7
GO:0001956	7
GO:0045906	7
GO:0051155	7
GO:0060373	7
GO:0008595	7
GO:0061298	7
GO:0072205	7
GO:0032819	7
GO:0010818	7
GO:0014012	7
GO:0014902	7
GO:0060042	7
GO:0060449	7
GO:0034351	7
GO:0060463	7
GO:0003084	7
GO:0097011	7
GO:0034372	7
GO:0030278	7
GO:0060440	7
GO:0060059	7
GO:0061180	7
GO:0048842	7
GO:0048841	7
GO:0000578	7
GO:0009913	7
GO:0048671	7
GO:0072112	7
GO:0038003	7
GO:0003309	7
GO:0045581	7
GO:0010642	7
GO:0003360	7
GO:0030913	7
GO:0030916	7
GO:0060017	7
GO:0045822	7
GO:0070233	7
GO:0070234	7
GO:0043305	7
GO:0042129	7
GO:0032532	7
GO:0022010	7
GO:0014824	7
GO:0045630	7
GO:0060736	7
GO:0048699	7
GO:0022038	7
GO:0007435	7
GO:0014807	7
GO:0045616	7
GO:0023041	6
GO:0034382	6
GO:0034384	6
GO:0048733	6
GO:2000107	6
GO:0048539	6
GO:0002318	6
GO:0010172	6
GO:0003209	6
GO:0050871	6
GO:2000503	6
GO:0046632	6
GO:0043031	6
GO:0021879	6
GO:0002686	6
GO:0030579	6
GO:0048304	6
GO:0021853	6
GO:0060363	6
GO:0045656	6
GO:0045657	6
GO:0060087	6
GO:0060664	6
GO:0032808	6
GO:0043615	6
GO:0042058	6
GO:0034349	6
GO:0014910	6
GO:0035773	6
GO:0032288	6
GO:0042713	6
GO:0033601	6
GO:0048667	6
GO:0002381	6
GO:0043567	6
GO:0045743	6
GO:0061037	6
GO:0010659	6
GO:0090330	6
GO:0090336	6
GO:0060008	6
GO:0035315	6
GO:0045591	6
GO:0060762	6
GO:2000052	6
GO:0021984	6
GO:0060998	6
GO:0033278	6
GO:0048743	6
GO:0032229	6
GO:0045627	6
GO:0021884	6
GO:0033211	6
GO:0033210	6
GO:0060536	6
GO:0003416	6
GO:2000288	6
GO:0060706	6
GO:0060253	6
GO:2000347	6
GO:0060740	6
GO:0070245	6
GO:0070244	6
GO:0007182	6
GO:0055013	6
GO:0055012	6
GO:0001913	6
GO:0034392	6
GO:0050671	6
GO:0060136	6
GO:0002320	6
GO:0045647	6
GO:0050807	6
GO:0021532	6
GO:0021797	6
GO:0030948	6
GO:0001768	6
GO:0006924	6
GO:0001957	6
GO:0003149	6
GO:0045908	6
GO:0060789	6
GO:0060074	6
GO:0051150	6
GO:0032224	6
GO:0060372	6
GO:0051964	6
GO:0042270	6
GO:0060426	6
GO:0060428	6
GO:0061299	6
GO:0032816	6
GO:0014909	6
GO:0002043	6
GO:0048633	6
GO:0001832	6
GO:0007167	6
GO:0021695	6
GO:0003085	6
GO:0021554	6
GO:0072307	6
GO:0071910	6
GO:0060056	6
GO:0008366	6
GO:0007270	6
GO:0048679	6
GO:0060770	6
GO:0060011	6
GO:0042487	6
GO:0030219	6
GO:0061002	6
GO:0061000	6
GO:0060754	6
GO:0010666	6
GO:0043535	6
GO:0060982	6
GO:0032534	6
GO:0051798	6
